Fp1,-20,60,10
Fpz,0,60,10
Fp2,20,60,10
AF7,-40,40,30
AF3,-20,60,20
AF4,20,60,20
AF8,40,40,30
F7,-50,30,20
F5,-40,30,20
F3,-30,30,40
F1,-10,30,50
Fz,0,30,50
F2,10,30,50
F4,30,30,40
F6,40,30,20
F8,60,30,20
FT7,-50,10,0
FC5,-50,10,50
FC3,-40,10,50
FC1,-20,10,60
FCz,0,10,60
FC2,20,10,60
FC4,40,10,50
FC6,50,10,50
FT8,50,10,0
T7,-50,-10,0
C5,-40,-10,50
C3,-30,-10,50
C1,-20,-10,60
Cz,0,-10,60
C2,20,-10,60
C4,30,-10,50
C6,40,-10,50
T8,50,-10,0
TP7,-60,-40,0
CP5,-50,-30,20
CP3,-30,-20,60
CP1,-20,-20,60
CPz,0,-20,60
CP2,20,-20,60
CP4,30,-20,60
CP6,50,-30,20
TP8,60,-40,0
P7,-50,-50,0
P5,-40,-50,20
P3,-30,-40,40
P1,-10,-40,50
Pz,0,-60,60
P2,10,-40,50
P4,30,-40,40
P6,40,-50,20
P8,50,-50,0
PO7,-40,-60,0
PO3,-20,-50,30
POz,0,-80,30
PO4,20,-50,30
PO8,40,-60,0
O1,-30,-80,10
Oz,0,-80,20
O2,30,-80,10
TP9,-60,-30,20
TP10,60,-30,20
FT10,50,10,-30
FT9,-50,10,-30
